petName,enemyId,templateId,earth,water,fire,wind,initNum,lvupPointSource,baseVital,baseStr,baseTough,baseDex,poisonResist,paralysisResist,sleepResist,stoneResist,drunkResist,confusionResist,critical,counter,lvMin,lvMax,hpMin,hpMax,attackMin,attackMax,defenseMin,defenseMax,agilityMin,agilityMax,skill1,skill2,skill3,skill4,skill5,skill6,skill7,limitLevel,imageId
巴朵兰恩,1473,303,0,20,80,0,27,4.5,23,37,20,25,0,0,0,0,0,0,5,5,90,95,651,918,155,221,96,160,88,149,1,2,-1,-1,-1,-1,-1,-1,100373
巴朵兰恩,2691,1301,0,20,80,0,27,4.5,26,40,25,28,0,0,0,0,0,0,5,5,1,1,52,67,12,15,8,12,7,10,1,2,-1,-1,-1,-1,-1,-1,100373
巴克,304,182,0,0,40,60,20,4.5,17,26,19,27,0,0,0,0,0,0,0,1,1,1,27,38,5,8,4,7,5,7,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,410,182,0,0,40,60,20,4.5,17,26,19,27,0,0,0,0,0,0,0,1,1,1,27,38,5,8,4,7,5,7,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,411,182,0,0,40,60,20,4.5,17,26,19,27,0,0,0,0,0,0,0,1,11,14,81,139,17,31,13,26,15,28,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,412,182,0,0,40,60,20,4.5,17,26,19,27,0,0,0,0,0,0,0,1,13,16,92,155,19,34,15,29,17,31,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,413,182,0,0,40,60,20,4.5,17,26,19,27,0,0,0,0,0,0,0,1,15,18,103,170,22,38,17,32,19,34,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,2052,182,0,0,40,60,20,4.5,17,26,19,27,0,0,0,0,0,0,0,1,50,50,293,419,62,93,48,80,54,84,1,2,-1,-1,-1,-1,-1,-1,100324
巴克亚司,1656,823,0,0,30,70,24,4.5,25,25,23,28,0,0,0,0,0,0,1,1,1,1,41,55,7,10,6,10,6,9,1,2,-1,-1,-1,-1,-1,-1,100918
巴克亚司,1730,823,0,0,30,70,24,4.5,25,25,23,28,0,0,0,0,0,0,1,1,65,75,481,736,81,139,76,134,72,128,1,2,-1,-1,-1,-1,-1,-1,100918
巴克亚司,1831,823,0,0,30,70,24,4.5,25,25,23,28,0,0,0,0,0,0,1,1,70,79,516,772,87,146,82,140,78,134,1,2,-1,-1,-1,-1,-1,-1,100918
巴利,2015,1020,0,0,40,60,17,4.5,22,23,35,18,0,0,0,0,0,0,1,1,1,1,27,37,4,7,6,8,2,5,1,2,-1,-1,-1,-1,-1,-1,101475
巴罗多,2260,55,20,80,0,0,29,4.5,30,39,27,27,0,0,0,0,0,0,1,1,1,1,60,77,12,16,9,13,7,11,1,2,-1,-1,-1,-1,-1,-1,101617
巴罗特,2261,56,0,0,20,80,29,4.5,24,42,18,39,0,0,0,0,0,0,1,1,1,1,55,72,13,17,7,11,10,14,1,2,-1,-1,-1,-1,-1,-1,101618
巴特,2562,1181,70,30,0,0,23,4.5,29,33,25,29,0,0,0,0,0,0,1,1,1,1,45,59,8,12,7,10,6,9,1,2,637,-1,-1,-1,-1,-1,101870
巴雅,2561,1180,0,0,30,70,23,4.5,26,36,21,34,0,0,0,0,0,0,1,1,1,1,43,57,9,12,6,9,7,10,1,2,637,-1,-1,-1,-1,-1,101869
芭拉芭,1608,775,90,10,0,0,19,4.5,21,26,27,27,0,0,0,0,0,0,1,1,1,1,30,41,5,8,5,8,4,7,1,2,-1,-1,-1,-1,-1,-1,100870
芭拉芭,1714,775,90,10,0,0,19,4.5,21,26,27,27,0,0,0,0,0,0,1,1,65,75,440,686,82,140,85,143,68,122,1,2,-1,-1,-1,-1,-1,-1,100870
柏克尔,476,65,0,0,20,80,19,4.5,21,22,19,23,0,0,0,0,0,0,0,3,1,1,27,38,4,7,4,7,3,6,1,2,-1,-1,-1,-1,-1,-1,100393
柏克尔,1092,65,0,0,20,80,19,4.5,21,22,19,23,0,0,0,0,0,0,0,3,1,1,27,38,4,7,4,7,3,6,1,2,-1,-1,-1,-1,-1,-1,100393
柏克尔,1093,65,0,0,20,80,19,4.5,21,22,19,23,0,0,0,0,0,0,0,3,40,42,252,369,44,72,39,67,36,64,1,2,-1,-1,-1,-1,-1,-1,100393
柏克尔,1250,65,0,0,20,80,19,4.5,21,22,19,23,0,0,0,0,0,0,0,3,54,55,332,474,58,93,51,86,48,82,1,2,-1,-1,-1,-1,-1,-1,100393
柏克尔,1251,65,0,0,20,80,19,4.5,21,22,19,23,0,0,0,0,0,0,0,3,55,56,338,482,59,94,52,88,49,83,1,2,-1,-1,-1,-1,-1,-1,100393
柏洛德,2108,1091,80,0,0,20,29,4.5,31,42,26,26,0,0,0,0,0,0,1,1,1,1,62,78,13,17,9,13,6,11,1,2,-1,-1,-1,-1,-1,-1,101555
斑尼迪克,1645,812,0,0,10,90,30,4.5,26,48,21,29,0,0,0,0,0,0,1,1,1,1,59,76,15,19,8,12,8,12,1,2,-1,-1,-1,-1,-1,-1,100907
斑尼迪克,2660,1270,0,0,10,90,30,4.5,26,42,17,32,0,0,0,0,0,0,4,1,1,1,57,74,13,18,7,11,9,13,1,2,-1,-1,-1,-1,-1,-1,100907
斑尼迪克,2680,1290,0,0,10,90,36,4.5,27,46,26,38,0,0,0,0,0,0,2,2,1,1,77,97,18,23,11,17,12,18,1,2,655,21,-1,-1,-1,-1,100907
邦达霍恩,484,315,0,0,50,50,30,4.5,20,28,20,32,5,5,5,5,5,5,0,5,1,1,46,64,9,13,7,11,9,13,1,2,-1,-1,-1,-1,-1,-1,100430
邦恩多斯,483,255,0,0,20,80,28,4.5,37,30,27,10,0,0,0,0,0,0,5,0,1,1,59,75,9,13,9,13,2,6,1,2,-1,-1,-1,-1,-1,-1,100396
邦恩多斯,1447,255,0,0,20,80,28,4.5,37,30,27,10,0,0,0,0,0,0,5,0,95,105,852,1194,140,219,130,207,32,97,1,2,-1,-1,-1,-1,-1,-1,100396
邦恩多斯,1451,255,0,0,20,80,28,4.5,37,30,27,10,0,0,0,0,0,0,5,0,1,1,59,75,9,13,9,13,2,6,1,2,-1,-1,-1,-1,-1,-1,100396
邦恩多斯,1468,255,0,0,20,80,28,4.5,37,30,27,10,0,0,0,0,0,0,5,0,80,90,725,1032,120,189,110,179,27,84,1,2,-1,-1,-1,-1,-1,-1,100396
邦恩多斯,1472,255,0,0,20,80,28,4.5,37,30,27,10,0,0,0,0,0,0,5,0,90,95,810,1086,134,199,123,188,30,88,1,2,-1,-1,-1,-1,-1,-1,100396
邦恩吉,322,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,1,1,26,35,4,6,3,5,1,4,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,396,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,1,1,26,35,4,6,3,5,1,4,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,425,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,15,17,117,176,20,34,13,26,8,20,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,426,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,16,18,123,185,22,36,14,28,9,21,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,427,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,18,20,136,203,24,40,16,30,10,23,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,731,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,15,25,117,247,20,48,13,37,8,29,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,1008,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,35,38,247,362,44,71,29,55,18,42,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,1073,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,15,25,117,247,20,48,13,37,8,29,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,1492,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,90,95,606,866,107,170,71,131,44,101,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,1511,224,20,80,0,0,16,4.5,28,26,15,14,0,0,0,0,20,0,5,0,10,15,84,159,15,31,9,24,6,18,1,100,-1,-1,-1,-1,-1,-1,100342
邦克普斯,2006,1011,0,0,80,20,27,4.5,27,39,24,28,0,0,0,0,0,0,1,1,1,1,52,68,11,15,8,12,7,10,1,2,-1,-1,-1,-1,-1,-1,101466
邦洛洛克斯,152,331,40,60,0,0,22,4.5,24,19,24,18,0,0,0,0,0,0,1,0,10,10,88,122,13,21,15,24,9,17,1,2,-1,-1,-1,-1,-1,-1,100384
邦洛洛克斯,153,331,40,60,0,0,22,4.5,24,19,24,18,0,0,0,0,0,0,1,0,1,1,33,46,4,8,5,9,3,6,1,2,-1,-1,-1,-1,-1,-1,100384
邦洛洛克斯,363,331,40,60,0,0,22,4.5,24,19,24,18,0,0,0,0,0,0,1,0,1,1,33,46,4,8,5,9,3,6,1,2,-1,-1,-1,-1,-1,-1,100384
邦洛洛克斯,540,331,40,60,0,0,22,4.5,24,19,24,18,0,0,0,0,0,0,1,0,25,26,180,257,26,45,32,50,18,36,1,2,-1,-1,-1,-1,-1,-1,100384
邦洛洛克斯,541,331,40,60,0,0,22,4.5,24,19,24,18,0,0,0,0,0,0,1,0,27,28,192,274,28,48,34,54,20,39,1,2,-1,-1,-1,-1,-1,-1,100384
邦洛洛克斯,1437,331,40,60,0,0,22,4.5,24,19,24,18,0,0,0,0,0,0,1,0,25,30,180,291,26,51,32,57,18,41,1,2,-1,-1,-1,-1,-1,-1,100384
邦诺斯娜,1588,754,0,0,80,20,33,4.5,27,47,20,28,0,0,0,0,0,0,1,1,1,1,65,84,16,21,8,13,8,13,1,2,-1,-1,-1,-1,-1,-1,100849
邦诺斯娜,2675,1285,0,0,100,0,32,4.5,27,50,22,37,5,5,5,5,5,5,3,2,1,1,68,86,17,22,9,14,11,15,1,2,712,-1,-1,-1,-1,-1,100849
邦欧里,2021,1026,80,20,0,0,24,4.5,31,30,20,23,0,0,0,0,0,0,2,6,1,1,46,60,8,11,6,9,5,8,1,2,-1,-1,-1,-1,-1,-1,101481
邦浦洛斯,56,93,0,0,50,50,27,4.5,25,37,15,21,0,0,0,0,0,0,5,0,1,1,45,61,10,14,5,9,5,8,1,2,-1,-1,-1,-1,-1,-1,100289
邦浦洛斯,979,93,0,0,50,50,27,4.5,25,37,15,21,0,0,0,0,0,0,5,0,1,1,45,61,10,14,5,9,5,8,1,2,-1,-1,-1,-1,-1,-1,100289
邦浦洛斯,980,93,0,0,50,50,27,4.5,25,37,15,21,0,0,0,0,0,0,5,0,43,45,329,460,78,110,39,70,37,66,1,2,-1,-1,-1,-1,-1,-1,100289
邦浦洛斯,1394,93,0,0,50,50,27,4.5,25,37,15,21,0,0,0,0,0,0,5,0,93,95,667,914,158,219,79,140,75,132,1,2,-1,-1,-1,-1,-1,-1,100289
邦浦洛斯,2672,1282,0,0,60,40,32,4.5,27,46,25,35,0,0,0,0,0,0,3,1,1,1,67,85,16,20,10,14,10,15,1,2,711,-1,-1,-1,-1,-1,100289
邦奇,326,241,0,80,20,0,22,4.5,34,20,24,10,0,0,0,0,0,0,0,0,1,1,40,53,5,8,6,9,1,4,1,2,-1,-1,-1,-1,-1,-1,100347
邦奇,1346,241,0,80,20,0,22,4.5,34,20,24,10,0,0,0,0,0,0,0,0,1,1,40,53,5,8,6,9,1,4,1,2,-1,-1,-1,-1,-1,-1,100347
邦奇,1347,241,0,80,20,0,22,4.5,34,20,24,10,0,0,0,0,0,0,0,0,62,63,494,658,64,104,74,114,21,59,1,2,-1,-1,-1,-1,-1,-1,100347
邦奇,1348,241,0,80,20,0,22,4.5,34,20,24,10,0,0,0,0,0,0,0,0,63,64,502,668,65,106,75,116,21,60,1,2,-1,-1,-1,-1,-1,-1,100347
邦奇,1349,241,0,80,20,0,22,4.5,34,20,24,10,0,0,0,0,0,0,0,0,64,65,509,678,66,107,76,117,21,61,1,2,-1,-1,-1,-1,-1,-1,100347
邦奇诺,57,94,0,0,100,0,26,4.5,24,38,16,20,0,0,0,0,0,0,5,0,1,1,43,58,10,14,5,9,4,8,1,2,-1,-1,-1,-1,-1,-1,100290
邦奇诺,985,94,0,0,100,0,26,4.5,24,38,16,20,0,0,0,0,0,0,5,0,1,1,43,58,10,14,5,9,4,8,1,2,-1,-1,-1,-1,-1,-1,100290
邦奇诺,986,94,0,0,100,0,26,4.5,24,38,16,20,0,0,0,0,0,0,5,0,44,46,328,461,81,114,41,73,35,65,1,2,-1,-1,-1,-1,-1,-1,100290
邦奇诺,1323,94,0,0,100,0,26,4.5,24,38,16,20,0,0,0,0,0,0,5,0,83,85,587,810,145,200,75,129,63,115,1,2,-1,-1,-1,-1,-1,-1,100290
邦奇诺,2673,1283,0,0,100,0,32,4.5,26,48,23,37,0,0,0,0,0,0,3,1,1,1,66,85,16,21,9,14,11,15,1,2,711,-1,-1,-1,-1,-1,100290
邦司凉朵,1647,814,0,100,0,0,29,4.5,31,42,26,26,0,0,0,0,0,0,1,1,1,1,62,78,13,17,9,13,6,11,1,2,-1,-1,-1,-1,-1,-1,100909
邦司凉朵,2662,1272,0,100,0,0,32,4.5,28,44,20,29,0,0,0,0,0,0,4,1,1,1,64,82,15,20,8,13,8,13,1,2,-1,-1,-1,-1,-1,-1,100909
邦司凉朵,2682,1292,0,100,0,0,38,4.5,30,46,30,34,0,0,0,0,0,0,2,2,1,1,85,107,19,25,14,19,12,17,1,2,655,21,-1,-1,-1,-1,100909
邦斯卡,2610,1220,0,70,30,0,26,4.5,29,35,10,26,0,0,0,0,0,0,2,2,1,1,47,62,9,13,4,7,6,9,1,2,-1,-1,-1,-1,-1,-1,101933
邦西普,2024,1029,0,0,20,80,24,4.5,31,31,15,27,0,0,0,0,0,0,2,6,1,1,46,60,8,11,4,8,6,9,1,2,-1,-1,-1,-1,-1,-1,101484
鲍,305,183,20,0,0,80,17,4.5,16,23,20,28,0,0,0,0,0,0,0,1,1,1,22,32,4,6,3,6,4,6,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,459,183,20,0,0,80,17,4.5,16,23,20,28,0,0,0,0,0,0,0,1,1,1,22,32,4,6,3,6,4,6,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,460,183,20,0,0,80,17,4.5,16,23,20,28,0,0,0,0,0,0,0,1,10,13,69,122,13,26,12,24,13,26,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,461,183,20,0,0,80,17,4.5,16,23,20,28,0,0,0,0,0,0,0,1,12,15,79,137,15,29,14,27,15,29,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,1267,183,20,0,0,80,17,4.5,16,23,20,28,0,0,0,0,0,0,0,1,62,64,341,508,67,108,60,101,67,107,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,1268,183,20,0,0,80,17,4.5,16,23,20,28,0,0,0,0,0,0,0,1,64,66,352,523,69,112,62,104,69,110,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,2053,183,20,0,0,80,17,4.5,16,23,20,28,0,0,0,0,0,0,0,1,50,50,279,402,55,86,49,80,55,85,1,2,-1,-1,-1,-1,-1,-1,100325
贝恩达斯,149,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,1,2,26,44,3,7,4,9,1,4,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,150,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,2,4,32,62,4,9,6,12,1,6,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,151,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,4,6,45,79,5,12,8,16,2,8,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,262,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,5,7,52,88,6,14,9,18,2,9,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,316,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,1,1,26,35,3,5,4,7,1,3,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,1082,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,15,22,118,222,15,35,22,45,6,23,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,1331,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,55,56,380,523,49,84,72,107,20,54,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,1332,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,56,57,387,532,49,85,73,109,21,55,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩达斯,1333,212,20,80,0,0,16,4.5,28,17,28,11,0,0,0,0,0,0,1,0,57,58,393,541,50,86,74,111,21,56,1,2,-1,-1,-1,-1,-1,-1,100336
贝恩斯,2092,1076,0,0,100,0,22,4.5,27,38,25,29,0,0,0,0,0,0,1,1,1,1,43,55,9,12,6,9,5,9,1,2,-1,-1,-1,-1,-1,-1,101571
贝库尔,1987,992,10,0,0,90,26,4.5,30,35,17,26,0,0,0,0,0,0,1,1,1,1,50,65,10,13,5,9,6,9,1,2,-1,-1,-1,-1,-1,-1,101447
贝里莱欧,2400,117,80,20,0,0,29,4.5,26,46,31,32,0,0,0,0,0,0,1,1,1,1,60,77,14,19,10,15,8,12,1,2,-1,-1,-1,-1,-1,-1,101725
贝鲁卡,307,191,60,40,0,0,24,4.5,23,28,16,25,0,0,0,0,0,0,3,3,1,1,37,51,7,10,4,8,5,8,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁卡,414,191,60,40,0,0,24,4.5,23,28,16,25,0,0,0,0,0,0,3,3,1,1,37,51,7,10,4,8,5,8,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁卡,415,191,60,40,0,0,24,4.5,23,28,16,25,0,0,0,0,0,0,3,3,14,16,119,180,23,38,15,29,17,31,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁卡,416,191,60,40,0,0,24,4.5,23,28,16,25,0,0,0,0,0,0,3,3,16,18,131,197,26,41,17,32,19,34,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁卡,417,191,60,40,0,0,24,4.5,23,28,16,25,0,0,0,0,0,0,3,3,18,20,144,215,28,45,18,34,21,37,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁伊卡,308,192,0,0,30,70,23,4.5,21,30,13,28,0,0,0,0,0,0,3,3,1,1,34,48,7,10,4,7,5,9,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,418,192,0,0,30,70,23,4.5,21,30,13,28,0,0,0,0,0,0,3,3,1,1,34,48,7,10,4,7,5,9,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,419,192,0,0,30,70,23,4.5,21,30,13,28,0,0,0,0,0,0,3,3,14,16,113,173,24,39,13,26,19,33,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,420,192,0,0,30,70,23,4.5,21,30,13,28,0,0,0,0,0,0,3,3,16,18,125,190,27,43,14,29,21,36,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,421,192,0,0,30,70,23,4.5,21,30,13,28,0,0,0,0,0,0,3,3,18,20,137,206,29,46,15,31,23,39,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,1269,192,0,0,30,70,23,4.5,21,30,13,28,0,0,0,0,0,0,3,3,62,64,403,574,87,130,46,88,69,110,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,1270,192,0,0,30,70,23,4.5,21,30,13,28,0,0,0,0,0,0,3,3,64,66,415,591,90,133,48,90,71,113,1,2,-1,-1,-1,-1,-1,-1,100328
贝路卡,2413,129,0,80,20,0,27,4.5,29,44,31,27,0,0,0,0,0,0,1,1,1,1,57,73,13,17,10,14,6,10,1,2,602,-1,-1,-1,-1,-1,101711
贝洛宝克尔,34,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,1,1,40,53,4,7,7,11,2,5,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,726,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,1,1,40,53,4,7,7,11,2,5,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,727,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,13,15,123,183,12,25,24,38,8,20,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,728,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,15,17,137,201,14,28,26,42,9,22,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,729,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,17,19,151,220,15,30,29,46,10,24,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,1071,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,44,46,339,470,34,65,66,98,23,52,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,1334,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,59,60,443,600,45,83,86,125,30,67,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,1335,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,60,61,450,610,46,84,88,127,31,68,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝克尔,1336,43,30,70,0,0,23,4.5,30,13,31,14,0,0,0,30,0,0,0,0,61,62,457,619,46,86,89,129,31,69,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝利,35,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,1,1,38,50,4,7,7,10,2,5,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,530,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,1,1,38,50,4,7,7,10,2,5,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,531,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,30,31,238,328,28,49,45,67,17,38,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,532,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,32,33,252,346,30,52,48,71,18,40,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,533,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,34,35,266,364,31,55,51,75,20,42,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,1072,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,44,46,335,466,40,71,64,96,25,54,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,1202,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,59,60,439,595,52,90,84,123,33,69,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,1206,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,60,61,446,605,53,92,85,125,33,70,1,2,90,-1,-1,-1,-1,-1,100270
贝洛宝利,1209,44,0,30,70,0,22,4.5,29,16,30,15,0,0,0,0,0,30,0,0,61,62,453,614,54,93,87,127,34,71,1,2,90,-1,-1,-1,-1,-1,100270
贝洛贝,1575,741,70,0,0,30,20,4.5,33,17,37,18,0,0,0,0,0,0,1,1,1,1,40,51,4,7,8,11,3,6,1,2,-1,-1,-1,-1,-1,-1,100836
贝洛贝,2041,741,70,0,0,30,20,4.5,33,17,37,18,0,0,0,0,0,0,1,1,85,90,712,970,81,140,145,208,56,112,1,2,-1,-1,-1,-1,-1,-1,100836
贝洛波波,1576,742,0,50,50,0,23,4.5,36,20,35,16,0,0,0,0,0,0,1,1,1,1,48,61,5,9,9,12,3,6,1,2,-1,-1,-1,-1,-1,-1,100837
贝洛恩,32,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,1,1,41,55,4,7,7,11,3,6,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,266,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,1,1,41,55,4,7,7,11,3,6,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,278,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,22,24,186,267,18,36,35,55,14,31,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,280,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,25,27,207,295,20,40,39,60,15,34,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,285,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,20,21,173,240,16,32,32,49,13,28,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,286,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,21,23,179,258,17,35,34,53,13,30,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,287,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,23,25,193,277,18,37,36,56,14,32,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,1069,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,44,46,339,471,32,63,64,96,25,55,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,1325,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,55,56,415,563,40,76,79,115,31,65,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,1326,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,56,57,422,572,40,77,80,117,31,66,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛恩,1327,41,0,100,0,0,24,4.5,30,12,30,15,0,0,0,0,0,0,0,0,57,58,429,582,41,78,81,119,32,68,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛格,1574,740,80,20,0,0,19,4.5,34,17,39,15,0,0,0,0,0,0,1,1,1,1,38,49,4,7,8,10,2,5,1,2,-1,-1,-1,-1,-1,-1,100835
贝洛格,1826,740,80,20,0,0,19,4.5,34,17,39,15,0,0,0,0,0,0,1,1,70,79,598,863,67,124,126,189,38,89,1,2,-1,-1,-1,-1,-1,-1,100835
贝洛格,2031,740,80,20,0,0,19,4.5,34,17,39,15,0,0,0,0,0,0,1,1,80,85,680,926,77,133,143,203,43,95,1,2,-1,-1,-1,-1,-1,-1,100835
贝洛金,1573,739,0,0,40,60,21,4.5,32,19,34,19,0,0,0,0,0,0,1,1,1,1,41,53,5,8,7,11,3,6,1,2,-1,-1,-1,-1,-1,-1,100834
贝洛金,1876,739,0,0,40,60,21,4.5,32,19,34,19,0,0,0,0,0,0,1,1,90,99,738,1049,92,161,143,217,64,128,1,2,-1,-1,-1,-1,-1,-1,100834
贝洛金,1928,739,0,0,40,60,21,4.5,32,19,34,19,0,0,0,0,0,0,1,1,80,85,660,906,82,139,128,187,57,110,1,2,-1,-1,-1,-1,-1,-1,100834
贝洛金,2180,739,0,0,40,60,21,4.5,32,19,34,19,0,0,0,0,0,0,1,1,91,95,746,1008,93,155,144,208,64,123,1,2,-1,-1,-1,-1,-1,-1,100834
贝洛洛克,33,42,70,30,0,0,19,4.5,29,14,32,13,60,0,0,-20,0,0,0,0,1,1,32,43,3,6,6,9,2,4,1,2,60,-1,-1,-1,-1,-1,100268
